Date,Open,High,Low,Close,Quantity
2000-01-03,29.35,29.35,29.35,29.35,227440
2000-01-04,31.7,31.7,29.7,30.41,2552510
2000-01-05,29.0,30.39,28.5,29.28,2690870
2000-01-06,30.1,31.4,29.5,29.65,3059160
2000-01-07,29.0,29.64,28.1,28.66,1970390
2000-01-10,29.2,29.6,28.5,28.72,1333630
2000-01-11,29.0,29.2,27.33,28.39,3374110
2000-01-12,28.7,29.3,28.45,28.56,2225370
2000-01-13,28.8,29.05,28.3,28.39,1132380
2000-01-14,28.4,29.4,27.63,28.66,1523220
2000-01-17,30.2,30.95,29.5,30.22,5008520
2000-01-18,30.7,31.79,30.11,30.58,3693040
2000-01-19,31.0,31.5,30.31,30.53,3779370
2000-01-20,30.3,30.6,28.8,29.14,2081220
2000-01-21,29.2,30.7,29.0,29.96,5914580
2000-01-24,30.6,30.6,29.1,29.31,2073360
2000-01-25,28.5,30.9,28.1,30.32,5124030
2000-01-27,31.59,31.66,30.99,31.66,8388260
2000-01-28,32.85,32.89,31.5,32.44,12246040
2000-01-31,32.87,35.0,32.01,33.35,14496380
2000-02-01,33.7,35.39,33.5,35.06,12201410
2000-02-02,35.5,35.7,34.2,35.14,11247740
2000-02-03,34.56,35.15,33.82,34.19,3387740
2000-02-04,34.2,36.24,34.1,35.72,13934260
2000-02-07,35.1,36.25,34.82,35.55,8345980
2000-02-08,35.9,35.9,34.56,35.05,5272230
2000-02-09,35.4,35.4,32.25,32.92,9189500
2000-02-10,32.9,32.9,31.16,32.04,4061750
2000-02-11,32.7,34.6,31.3,34.37,13618150
2000-02-14,35.4,36.9,34.5,35.92,14571780
2000-02-15,35.24,35.35,33.05,33.26,6295690
2000-02-16,35.0,35.48,33.81,34.16,2528480
2000-02-17,33.6,34.7,33.6,33.92,1208540
2000-02-18,33.9,34.0,32.5,32.79,1614990
2000-02-21,32.9,33.4,31.71,31.92,2061890
2000-02-22,31.7,31.94,30.12,30.6,2853650
2000-02-23,31.7,33.05,31.5,33.05,1771710
2000-02-24,34.99,35.6,33.2,35.17,3858440
2000-02-25,35.4,37.99,35.11,37.99,2305320
2000-02-28,40.55,41.03,38.05,40.97,6436590
2000-02-29,42.0,44.25,37.7,40.17,10149480
