Date,Open,High,Low,Close,Quantity
2000-01-03,45.72,48.45,45.72,48.45,23150255
2000-01-04,49.74,52.33,48.38,52.33,49287678
2000-01-05,49.41,55.42,49.41,54.38,139395761
2000-01-06,55.63,57.88,55.63,56.66,81466421
2000-01-07,56.79,61.2,56.4,60.55,103225855
2000-01-10,61.1,61.35,58.77,59.39,69698997
2000-01-11,59.28,59.86,54.64,55.54,65165309
2000-01-12,55.63,58.71,54.31,58.08,62906530
2000-01-13,58.91,60.91,58.54,60.03,88706712
2000-01-14,59.58,61.92,59.58,60.89,69925153
2000-01-17,61.26,62.16,59.11,59.43,55736000
2000-01-18,59.48,61.4,58.82,60.48,52380888
2000-01-19,62.15,62.54,60.87,61.52,59643595
2000-01-20,61.6,62.54,59.78,60.22,80149148
2000-01-21,60.19,63.22,60.06,62.82,89023751
2000-01-24,62.66,63.88,61.99,62.78,68380784
2000-01-25,62.57,62.62,61.26,61.59,50664670
2000-01-27,63.33,64.83,62.12,64.48,77997694
2000-01-28,64.66,65.82,63.83,65.13,60957153
2000-01-31,64.38,64.68,62.86,63.17,52941979
2000-02-01,63.68,64.96,63.14,64.3,55624956
2000-02-02,66.01,66.78,65.17,65.48,51692717
2000-02-03,65.84,66.12,64.76,65.77,35176764
2000-02-04,66.22,66.86,65.78,66.25,36919013
2000-02-07,65.66,67.27,65.07,66.14,42564369
2000-02-08,66.51,66.78,65.65,65.91,33406031
2000-02-09,67.18,68.27,66.37,67.45,59412057
2000-02-10,67.14,70.03,66.39,68.48,56065345
2000-02-11,70.07,72.0,69.31,69.94,42366894
2000-02-14,69.11,69.47,67.38,67.78,26635839
2000-02-15,67.76,68.22,65.84,66.29,42204348
2000-02-16,67.38,68.11,66.05,67.02,40916322
2000-02-17,66.93,68.68,66.89,68.25,39848416
2000-02-18,68.7,68.91,66.99,67.27,26133335
2000-02-21,67.07,67.76,65.77,66.54,15295605
2000-02-22,66.61,66.8,64.01,64.36,37362296
2000-02-23,66.35,66.35,63.01,63.49,25099870
2000-02-24,64.08,65.58,63.39,64.82,29422717
2000-02-25,65.72,66.01,62.77,63.26,20322582
2000-02-28,62.53,64.92,59.68,64.12,26109112
2000-02-29,65.05,66.0,58.99,59.84,51792764
2000-03-01,60.64,63.5,57.56,60.98,55926691
2000-03-02,61.38,61.99,56.11,56.16,65123351
2000-03-03,55.07,55.07,51.68,51.68,24087148
2000-03-06,51.68,54.64,47.55,48.89,54185522
2000-03-07,49.47,49.86,46.2,46.64,49664675
2000-03-08,47.53,48.22,44.28,44.84,37695460
2000-03-09,45.41,46.66,43.15,44.53,28809309
2000-03-10,45.05,45.2,41.31,41.74,34271008
2000-03-13,42.33,44.18,38.56,39.12,55924161
2000-03-14,39.56,42.25,37.95,42.2,52500353
2000-03-15,43.12,45.57,41.58,45.57,29668686
2000-03-16,46.1,47.7,44.29,45.21,54879455
2000-03-21,45.97,46.74,43.81,45.8,35522265
2000-03-22,47.16,47.84,46.43,46.85,25618769
2000-03-23,47.21,47.32,45.92,46.38,22265621
2000-03-24,46.05,46.77,45.75,46.32,13703117
2000-03-27,46.78,50.02,46.78,50.02,21515148
2000-03-28,50.65,54.03,50.65,54.03,36502655
2000-03-29,54.82,55.81,51.78,52.23,53391340
2000-03-30,51.78,56.4,49.72,56.4,89186099
2000-03-31,57.17,60.92,53.92,60.92,102359397
2000-04-03,63.07,64.24,61.23,63.26,110924779
2000-04-04,62.76,62.76,58.2,58.2,70288249
2000-04-05,58.4,60.06,53.56,58.18,130838312
2000-04-06,58.33,62.84,58.24,62.78,84358795
2000-04-07,63.49,67.81,63.49,67.81,60707242
2000-04-10,71.21,73.15,69.2,70.18,114860878
2000-04-11,68.92,69.11,66.7,68.1,50698961
2000-04-12,68.72,69.3,64.37,65.06,89682436
2000-04-13,63.74,63.74,59.86,59.86,1169938
2000-04-17,55.07,57.9,55.07,57.44,82761912
2000-04-18,57.19,59.46,56.6,57.76,45588457
2000-04-19,59.23,62.38,58.35,60.61,84642727
2000-04-20,60.25,65.46,59.53,65.02,100716836
2000-04-24,66.61,69.42,62.18,64.86,91523418
2000-04-25,62.04,65.35,59.99,63.92,82127481
2000-04-26,65.45,69.04,65.45,68.91,88303610
2000-04-27,69.45,70.46,65.12,66.54,153493984
2000-04-28,66.89,67.74,65.51,66.42,69747371
2000-05-02,66.99,68.27,62.61,63.36,85322935
2000-05-03,62.95,64.27,59.52,63.14,71481834
2000-05-04,63.72,66.02,63.72,64.91,58843018
2000-05-05,65.16,65.75,63.16,64.55,57894135
2000-05-08,63.72,64.87,62.04,62.37,30604343
2000-05-09,61.89,63.88,61.29,63.21,31878660
2000-05-10,63.53,64.47,62.24,62.61,34559034
2000-05-11,62.38,62.38,60.45,60.97,33397221
2000-05-12,61.52,62.08,60.31,60.81,21482317
2000-05-15,60.07,62.5,59.0,61.5,30116119
2000-05-16,61.6,61.97,60.64,61.1,16277777
2000-05-17,61.77,63.22,60.88,61.38,40532816
2000-05-18,61.22,61.55,59.12,59.69,27962364
2000-05-19,59.29,61.42,59.15,60.75,41387699
2000-05-22,60.25,61.0,59.48,60.15,16196099
2000-05-23,60.12,60.83,59.39,60.59,21659174
2000-05-24,60.38,61.2,59.68,60.2,20997236
2000-05-25,60.12,61.18,59.89,60.21,13596197
2000-05-26,60.6,61.22,59.87,60.92,18206769
2000-05-29,61.31,66.88,61.22,65.34,61326514
2000-05-30,65.59,66.58,64.89,66.18,29561288
2000-05-31,67.57,68.68,65.85,66.2,43906831
2000-06-01,65.85,66.59,64.71,65.3,27955247
2000-06-02,66.03,66.61,64.31,64.96,30370935
2000-06-05,65.01,67.73,64.76,65.3,56330057
2000-06-06,65.06,66.0,64.7,65.22,20360114
2000-06-07,65.43,66.3,64.73,65.06,19491366
2000-06-08,65.43,66.41,65.11,65.61,23898483
2000-06-09,65.82,67.89,65.27,65.68,63861673
2000-06-12,65.91,66.55,65.17,65.33,21413252
2000-06-13,65.26,66.69,64.88,65.16,35516556
2000-06-14,66.7,66.7,64.7,64.94,23292686
2000-06-15,65.64,65.64,63.04,63.8,31569055
2000-06-16,63.44,64.65,63.33,63.96,23682026
2000-06-19,64.25,64.68,63.56,63.78,16118473
2000-06-20,64.2,64.3,63.25,63.58,21549268
2000-06-21,64.3,64.3,63.19,63.36,10759891
2000-06-22,63.59,67.34,62.23,66.41,99442816
2000-06-23,66.62,68.27,64.49,65.02,83104327
2000-06-26,64.49,64.6,63.19,63.75,18000249
2000-06-27,63.78,65.43,63.54,64.39,39668603
2000-06-28,64.49,64.86,64.01,64.25,9063512
2000-06-29,64.55,66.55,64.47,65.88,39574119
2000-06-30,66.22,66.35,64.68,65.6,32964016
2000-07-03,65.06,67.75,65.06,67.02,51185657
2000-07-04,67.11,67.3,66.23,66.49,27952047
2000-07-05,67.18,69.37,66.72,68.17,70443195
2000-07-06,67.57,70.24,67.38,69.75,74436675
2000-07-07,70.15,70.44,69.3,69.53,41398504
2000-07-10,69.88,71.42,69.04,70.94,48930301
2000-07-11,71.21,72.71,70.56,72.37,63069460
2000-07-12,72.01,72.33,70.84,71.23,26246701
2000-07-13,71.38,71.96,69.88,70.41,30886026
2000-07-14,70.5,71.31,69.22,69.53,33265325
2000-07-17,69.86,70.24,68.82,69.94,31955029
2000-07-18,69.59,69.88,68.59,68.94,19327631
2000-07-19,69.01,69.78,67.86,68.16,21704187
2000-07-20,67.93,69.45,66.8,68.84,46240784
2000-07-21,68.72,68.72,65.88,66.2,53324364
2000-07-24,65.65,65.65,62.4,62.85,31254270
2000-07-25,62.09,64.77,61.64,64.28,34311444
2000-07-26,65.26,65.26,62.37,62.68,20160416
2000-07-27,62.76,67.53,62.0,66.23,44750655
2000-07-28,66.99,67.38,65.3,65.54,31091948
2000-07-31,65.06,65.62,64.58,64.83,10423548
2000-08-01,64.68,65.82,64.6,65.16,19391564
2000-08-02,64.95,65.39,64.68,65.26,7565444
2000-08-03,65.41,66.17,64.74,65.0,17317792
2000-08-04,65.16,65.21,63.36,63.54,16996068
2000-08-07,63.33,63.91,62.4,63.57,12837839
2000-08-08,63.84,64.17,63.43,63.69,11701787
2000-08-09,64.1,65.06,63.75,64.24,12441642
