Date,Open,High,Low,Close,Quantity
2000-01-03,23.6,24.37,23.43,24.37,23732280
2000-01-04,24.37,26.2,23.89,25.91,44957410
2000-01-05,24.9,26.47,24.5,24.85,34340580
2000-01-06,25.2,26.8,25.2,26.1,66588010
2000-01-07,26.15,27.99,25.5,27.33,78739850
2000-01-10,28.0,28.99,26.52,26.95,55193160
2000-01-11,26.68,26.7,24.8,24.8,24276060
2000-01-12,24.4,25.15,23.66,24.48,28050720
2000-01-13,24.6,25.56,24.31,24.45,32267760
2000-01-14,24.5,24.5,23.81,23.92,15065430
2000-01-17,24.44,25.1,23.23,23.59,43858870
2000-01-18,23.69,24.1,23.38,23.65,27066140
2000-01-19,24.09,24.75,24.0,24.4,25119490
2000-01-20,24.3,24.48,23.63,23.77,11584640
2000-01-21,23.88,23.98,23.55,23.75,11786270
2000-01-24,23.67,24.04,22.71,22.83,18556360
2000-01-25,22.6,22.79,22.26,22.49,22265130
2000-01-27,22.9,23.55,22.8,23.02,20007450
2000-01-28,23.27,24.86,23.27,24.85,49782310
2000-01-31,24.6,25.68,24.25,24.47,48290710
2000-02-01,24.5,25.07,24.28,24.65,21964680
2000-02-02,25.7,25.87,24.6,24.75,23283150
2000-02-03,25.0,26.49,24.86,25.88,73327940
2000-02-04,26.0,26.48,25.45,25.59,32062950
2000-02-07,25.87,25.87,24.36,24.74,20586760
2000-02-08,24.7,24.85,24.08,24.23,23982790
2000-02-09,25.4,25.4,24.32,24.54,14111530
2000-02-10,24.22,25.1,24.22,24.88,18437600
2000-02-11,25.1,25.77,24.66,25.01,29837670
2000-02-14,25.2,27.02,25.14,26.66,63883690
2000-02-15,27.19,27.2,24.7,25.39,47477330
2000-02-16,25.7,25.7,24.75,25.0,20458990
2000-02-17,24.8,25.38,24.7,25.0,17406490
2000-02-18,25.18,25.28,23.9,24.11,15097130
2000-02-21,24.3,24.89,24.0,24.42,20127220
2000-02-22,24.5,24.64,23.4,23.71,16514620
2000-02-23,24.49,24.8,23.2,23.41,12766510
2000-02-24,23.6,24.7,23.43,24.34,15750660
2000-02-25,24.2,24.65,23.92,24.1,10457760
2000-02-28,24.1,24.87,23.73,24.55,14733590
2000-02-29,24.89,26.2,22.59,22.88,38913440
2000-03-01,23.3,24.15,22.5,23.62,20485200
2000-03-02,23.9,24.14,22.3,22.6,23014230
2000-03-03,22.3,22.79,20.8,20.82,17428720
2000-03-06,21.47,22.4,20.32,21.21,23746760
2000-03-07,21.21,21.35,20.25,20.75,20466890
2000-03-08,20.9,20.9,19.09,19.15,17137110
2000-03-09,19.15,19.4,17.62,17.89,23476730
2000-03-10,18.09,18.09,16.82,17.04,13149530
2000-03-13,17.33,17.9,16.3,16.44,18241610
2000-03-14,16.85,17.75,16.11,17.75,21237490
