Date,Open,High,Low,Close,Quantity
2000-01-03,41.48,43.45,41.48,43.35,3380630
2000-01-04,43.4,43.8,41.2,41.64,3396075
2000-01-05,38.8,43.56,38.8,42.65,5604755
2000-01-06,43.0,45.98,43.0,44.42,9844990
2000-01-07,44.8,47.98,44.62,47.98,10997155
2000-01-10,51.8,51.82,49.6,51.77,8602710
2000-01-11,52.0,52.0,47.63,47.63,6039580
2000-01-12,48.0,49.2,45.8,48.05,4692895
2000-01-13,48.6,49.0,46.32,47.09,2828770
2000-01-14,46.99,48.6,46.6,47.81,5123625
2000-01-17,48.59,51.62,48.59,50.13,7414970
2000-01-18,50.2,50.5,49.01,49.6,3961735
2000-01-19,50.2,51.58,48.52,50.1,6105210
2000-01-20,50.0,50.0,46.72,47.14,2789745
2000-01-21,46.02,46.76,45.1,46.44,3481695
2000-01-24,46.0,47.18,42.73,42.73,5625840
2000-01-25,40.07,40.98,39.32,39.32,3530605
2000-01-27,38.0,38.6,36.18,36.18,8642630
2000-01-28,34.2,36.4,33.67,35.04,13359435
2000-01-31,34.23,37.74,34.01,35.94,14253440
2000-02-01,35.98,36.98,34.42,35.06,6031080
2000-02-02,36.8,37.38,35.67,36.02,4481100
2000-02-03,36.0,36.35,35.35,35.47,1952310
2000-02-04,35.8,35.99,34.56,35.79,4025225
2000-02-07,35.62,36.5,35.07,35.56,2364865
2000-02-08,35.8,36.98,35.3,36.12,3358165
2000-02-09,37.2,38.4,36.4,36.73,4255000
2000-02-10,36.98,36.98,36.0,36.22,1384865
2000-02-11,36.78,36.96,33.41,33.95,3935905
2000-02-14,34.0,34.0,31.24,31.56,3504185
2000-02-15,31.61,33.8,31.2,33.16,4920960
2000-02-16,34.36,34.36,32.83,32.97,1583470
2000-02-17,33.0,34.4,32.72,33.27,1764875
2000-02-18,33.2,33.4,30.61,30.84,2632255
2000-02-21,30.0,33.31,30.0,33.31,3364835
2000-02-22,34.78,35.98,34.06,35.98,3179390
2000-02-23,37.98,38.8,33.25,33.61,6273745
2000-02-24,34.18,34.98,33.19,34.05,2346435
2000-02-25,34.89,36.78,33.31,36.58,4463610
2000-02-28,36.8,36.8,34.82,36.21,3256785
2000-02-29,36.01,36.68,33.32,33.32,4175205
2000-03-01,33.4,34.4,30.8,31.52,7324875
2000-03-02,32.6,32.75,29.15,29.36,6566085
2000-03-03,27.4,28.38,27.02,27.02,6111790
2000-03-06,27.98,29.19,27.22,27.75,8525220
2000-03-07,26.0,27.92,26.0,26.42,5438375
2000-03-08,26.8,26.82,25.0,25.5,2986670
2000-03-09,25.6,27.54,25.24,27.54,3294275
2000-03-10,26.0,28.0,25.45,25.88,3372400
2000-03-13,26.38,26.68,23.91,24.07,3366900
2000-03-14,24.56,26.0,23.96,26.0,4212990
2000-03-15,27.0,27.86,26.0,27.04,3869500
2000-03-16,27.2,29.21,26.8,29.08,5540760
2000-03-21,28.6,30.6,27.05,29.91,5094815
2000-03-22,30.6,30.7,28.5,29.31,3677590
2000-03-23,29.4,29.5,27.1,27.24,2140395
2000-03-24,26.24,27.37,26.24,27.05,1551290
2000-03-27,27.0,27.56,26.63,27.07,1476260
2000-03-28,26.85,27.4,26.03,26.7,2837330
2000-03-29,27.05,27.98,26.6,26.98,4482690
2000-03-30,26.71,26.73,24.83,25.35,4472150
2000-03-31,24.86,27.38,24.3,27.26,5052040
2000-04-03,27.6,29.18,27.0,28.54,8388295
2000-04-04,28.2,28.2,26.26,26.26,3207860
2000-04-05,25.3,27.2,25.05,26.71,2588560
2000-04-06,26.62,27.2,24.58,25.74,3053785
2000-04-07,26.16,27.8,25.8,27.76,4846935
2000-04-10,27.8,28.97,27.02,27.93,6103095
